qid,query,category,query_type,setting,precision_at_5,recall_at_5,recall_at_20,recall_at_50,ndcg_at_5,mrr,map_at_5,hit_rate_at_5,coverage_at_5,diversity_at_5,novelty_at_5,intent_consistency_at_5,grounding_score,violation_rate,confidence_mean,confidence_std,runtime_sec,discarded
41,Best places to visit in Darjeeling,generic,city,full,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.7,0.22000000000000003,1.0,0.9,0.0,0.8732091035219968,0.22580682548631342,0.03921222686767578,0
42,Best places to visit in Ooty,generic,city,full,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.5,0.18,1.0,0.6,0.0,0.524616291215353,0.23790352370503448,0.038901329040527344,0
43,Best places to visit in Madame Tussaud’s Museum,generic,city,full,1.0,0.02262443438914027,0.06787330316742081,0.06787330316742081,1.0,1.0,1.0,1.0,0.4,0.9,0.09999999999999998,1.0,0.75,0.0,0.615471891638036,0.0050302247299706185,0.04194140434265137,0
44,Best places to visit in B M Birla Science Museum,generic,city,full,1.0,0.02262443438914027,0.06787330316742081,0.06787330316742081,1.0,1.0,1.0,1.0,0.4,0.9,0.11999999999999997,1.0,0.75,0.0,0.6105046591597693,0.005594292492787776,0.043792009353637695,0
45,Best places to visit in City Palace Jaipur,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.986596874045655,1.0,1.0,1.0,0.6,0.9,0.07999999999999999,1.0,0.5,0.0,0.5917804409453769,0.004494405438011424,0.04230666160583496,0
46,Best places to visit in Agra Fort,generic,city,full,1.0,0.02262443438914027,0.06787330316742081,0.06787330316742081,1.0,1.0,1.0,1.0,0.4,1.0,0.09999999999999998,1.0,0.75,0.0,0.6579239925474315,0.09363624225064061,0.0406193733215332,0
47,Best places to visit in Kaziranga National Park,generic,city,full,1.0,0.046296296296296294,0.1388888888888889,0.1388888888888889,1.0,1.0,1.0,1.0,0.8,0.3,0.09999999999999998,1.0,0.75,0.0,0.6628612830122542,0.09237554111505161,0.03760933876037598,0
48,Best places to visit in Joshi's Museum of Miniature Railways,generic,city,full,1.0,0.02252252252252252,0.06756756756756757,0.06756756756756757,1.0,1.0,1.0,1.0,0.6,0.9,0.25999999999999995,1.0,0.7,0.0,0.6117196920401768,0.031224196036465438,0.04279017448425293,0
49,Best places to visit in Shanker's International Doll Museum,generic,city,full,1.0,0.02262443438914027,0.06787330316742081,0.06787330316742081,1.0,1.0,1.0,1.0,0.4,0.9,0.09999999999999998,1.0,0.75,0.0,0.6204276544512419,0.011369618942822894,0.04597926139831543,0
50,Best places to visit in Sree Chithra Art Gallery,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9636840788872965,1.0,1.0,1.0,0.8,0.9,0.09999999999999998,1.0,0.5,0.0,0.591183494404596,0.007762319388180575,0.043746232986450195,0
51,Best places to visit in Lalbhai Dalpatbhai Museum,generic,city,full,1.0,0.02262443438914027,0.06787330316742081,0.06787330316742081,1.0,1.0,1.0,1.0,0.4,0.9,0.09999999999999998,1.0,0.75,0.0,0.612242805966539,0.00520872757232278,0.04538321495056152,0
52,Best places to visit in Bangalore Palace,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9636840788872965,1.0,1.0,1.0,0.6,0.8,0.09999999999999998,1.0,0.5,0.0,0.5959700040754601,0.005676117097474262,0.0414426326751709,0
53,Best places to visit in Fatehpur Sikri,generic,city,full,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.7,0.13999999999999999,1.0,0.6,0.0,0.5173518817007432,0.2414741070208989,0.03883814811706543,0
54,Best places to visit in Lalbagh Botanical Garden,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,1.0,1.0,1.0,1.0,0.6,0.9,0.07999999999999999,1.0,0.5,0.0,0.5944737112830688,0.006455777358167497,0.04370617866516113,0
55,Best places to visit in Cubbon Park,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,1.0,1.0,1.0,1.0,0.4,0.8,0.07999999999999999,1.0,0.5,0.0,0.5945127569636645,0.007591919939908908,0.04109549522399902,0
56,Best places to visit in Sri Venkateswara Zoological Park,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9818420394436483,1.0,1.0,1.0,0.4,0.9,0.07999999999999999,1.0,0.5,0.0,0.5956297986898792,0.007396139639562516,0.04446101188659668,0
57,Best places to visit in Ranthambore National Park,generic,city,full,1.0,0.046296296296296294,0.1388888888888889,0.1388888888888889,1.0,1.0,1.0,1.0,0.6,0.8,0.11999999999999997,1.0,0.75,0.0,0.6202371045968788,0.046511461042057244,0.03841352462768555,0
58,Best places to visit in Meenakshi Temple,generic,city,full,1.0,0.038461538461538464,0.11538461538461539,0.11538461538461539,1.0,1.0,1.0,1.0,0.4,0.7,0.15999999999999998,1.0,0.75,0.0,0.6061909858281849,0.01352721540805691,0.040033817291259766,0
59,Best places to visit in Nainital,generic,city,full,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.8,0.25999999999999995,1.0,0.9,0.0,0.8583933622688592,0.21341810647941548,0.03789019584655762,0
60,"Best places to visit in War Memorial, Batasia Loop",generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9793244947953805,1.0,1.0,1.0,0.6,0.9,0.07999999999999999,1.0,0.5,0.0,0.5946039125984155,0.0007997685161139744,0.043320417404174805,0
61,Best places to visit in Elephanta Caves,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9324032470711285,1.0,1.0,1.0,0.6,1.0,0.13999999999999999,1.0,0.5,0.0,0.5825927028900979,0.007041286091360536,0.042559146881103516,0
62,Best places to visit in Gandhi Ninaivu Arungatchiyagam,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9636840788872965,1.0,1.0,1.0,0.8,0.9,0.09999999999999998,1.0,0.5,0.0,0.5912103415996545,0.007800983993629936,0.042258262634277344,0
63,Best places to visit in Gangotri,generic,city,full,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.22000000000000003,1.0,0.6,0.0,0.5224666341923598,0.23910079025540334,0.03737759590148926,0
64,Best places to visit in Doss & Co.,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.971902167940485,1.0,1.0,1.0,0.6,0.7,0.12,1.0,0.5,0.0,0.6044580688240446,0.021545428513854062,0.04218292236328125,0
65,Best places to visit in Buland Darwaza,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9636840788872965,1.0,1.0,1.0,0.6,0.9,0.09999999999999998,1.0,0.5,0.0,0.5950371665721081,0.007056615078048188,0.04284334182739258,0
66,Best places to visit in Jasmalnathji Mahadev Temple,generic,city,full,1.0,0.038461538461538464,0.11538461538461539,0.11538461538461539,1.0,1.0,1.0,1.0,0.6,0.7,0.15999999999999998,1.0,0.75,0.0,0.6063967921532368,0.018747822376128903,0.039795637130737305,0
67,Best places to visit in Kerala Soil Museum,generic,city,full,1.0,0.02262443438914027,0.06787330316742081,0.06787330316742081,1.0,1.0,1.0,1.0,0.6,1.0,0.09999999999999998,1.0,0.75,0.0,0.6067209326927893,0.0069893778050937015,0.0442042350769043,0
68,Best places to visit in Gauribidanuru,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.971902167940485,1.0,1.0,1.0,0.8,0.6,0.12,1.0,0.5,0.0,0.6029234504228864,0.02510426159211664,0.042572736740112305,0
69,Best places to visit in Rupnagar,generic,city,full,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.22000000000000003,1.0,0.6,0.0,0.607900329768789,0.19914559763581008,0.04114532470703125,0
70,Best places to visit in Amarkantak,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9636840788872965,1.0,1.0,1.0,0.6,1.0,0.12,1.0,0.5,0.0,0.606208500666345,0.023891150270559446,0.04268288612365723,0
71,Best places to visit in Sohra (Cherrapunji),generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9793244947953805,1.0,1.0,1.0,0.6,0.9,0.07999999999999999,1.0,0.5,0.0,0.5922986679778106,0.008083745554843246,0.04457211494445801,0
72,Best places to visit in Shillong,generic,city,full,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.22000000000000003,1.0,0.6,0.0,0.5203491353262304,0.240764221550651,0.03846001625061035,0
73,Best places to visit in Triumph of Labour,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,1.0,1.0,1.0,1.0,0.6,0.7,0.07999999999999999,1.0,0.5,0.0,0.5985328063144567,0.022144125089029347,0.04224205017089844,0
74,Best places to visit in Sanskar Kendra,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,1.0,1.0,1.0,1.0,0.6,1.0,0.07999999999999999,1.0,0.5,0.0,0.5970588390335552,0.009391294163974762,0.04269075393676758,0
75,Best places to visit in Indo-Portuguese Museum,generic,city,full,1.0,0.02262443438914027,0.06787330316742081,0.06787330316742081,1.0,1.0,1.0,1.0,0.6,0.8,0.11999999999999997,1.0,0.75,0.0,0.6522341226518813,0.04370407990645526,0.040444374084472656,0
76,Best places to visit in Jamali Kamali Tomb,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9636840788872965,1.0,1.0,1.0,0.6,0.9,0.09999999999999998,1.0,0.5,0.0,0.594239416976592,0.006272653378391621,0.04277539253234863,0
77,Best places to visit in Kerala Museum,generic,city,full,1.0,0.02262443438914027,0.06787330316742081,0.06787330316742081,1.0,1.0,1.0,1.0,0.6,1.0,0.09999999999999998,1.0,0.75,0.0,0.6067209326927893,0.0069893778050937015,0.044721126556396484,0
78,Best places to visit in Iron Pillar,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9636840788872965,1.0,1.0,1.0,0.6,1.0,0.09999999999999998,1.0,0.5,0.0,0.5873257314677296,0.007991368307438197,0.0417022705078125,0
79,Best places to visit in Guwahati Planetarium,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9793244947953805,1.0,1.0,1.0,0.6,0.8,0.07999999999999999,1.0,0.5,0.0,0.5929471285021497,0.006565163718511102,0.04481792449951172,0
80,Best places to visit in Tomb of Abdul Rahim Khan-i-Khanan,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,1.0,1.0,1.0,1.0,0.6,0.8,0.07999999999999999,1.0,0.5,0.0,0.5781126009262071,0.020006887329265227,0.04232478141784668,0
81,Best places to visit in Chhota Qutub Minar,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.986596874045655,1.0,1.0,1.0,0.6,0.9,0.07999999999999999,1.0,0.5,0.0,0.5948405320920236,0.005869570347920012,0.04328322410583496,0
82,I need family-friendly places in Ajitgarh,personal,city,full,1.0,0.040983606557377046,0.12295081967213115,0.12295081967213115,1.0,1.0,1.0,1.0,0.4,1.0,0.11999999999999997,1.0,0.6666666666666666,0.0,0.5934009885842885,0.005563046460519494,0.03600931167602539,0
83,Suggest a budget trip for me in Ajitgarh,personal,city,full,1.0,0.012853470437017995,0.03598971722365039,0.03598971722365039,0.5353800438262759,1.0,1.0,1.0,0.8,0.8,0.5,0.0,0.3333333333333333,1.0,0.39951191609367726,0.015404396864045999,0.04617714881896973,0
84,My parents need easy-access attractions in Ajitgarh,personal,city,full,1.0,0.02252252252252252,0.06756756756756757,0.06756756756756757,1.0,1.0,1.0,1.0,0.4,1.1,0.09999999999999998,1.0,0.8,0.0,0.7296550254784953,0.07601826957041566,0.040184974670410156,0
85,I want nature and photography spots in Ajitgarh,personal,city,full,1.0,0.022935779816513763,0.06880733944954129,0.06880733944954129,1.0,1.0,1.0,1.0,0.8,0.5,0.13999999999999996,1.0,0.6666666666666666,0.0,0.595933940268759,0.02570519603598978,0.041112422943115234,0
86,I need family-friendly places in Ashoka Pillar,personal,city,full,1.0,0.040983606557377046,0.12295081967213115,0.12295081967213115,1.0,1.0,1.0,1.0,0.8,0.9,0.13999999999999996,1.0,0.6666666666666666,0.0,0.592604930854326,0.004647117371754616,0.0370783805847168,0
87,Suggest a budget trip for me in Ashoka Pillar,personal,city,full,1.0,0.012853470437017995,0.03598971722365039,0.03598971722365039,0.5353800438262759,1.0,1.0,1.0,0.8,0.8,0.5,0.0,0.3333333333333333,1.0,0.4246583512712821,0.05804645068997344,0.045565128326416016,0
88,My parents need easy-access attractions in Ashoka Pillar,personal,city,full,1.0,0.02252252252252252,0.06756756756756757,0.06756756756756757,1.0,1.0,1.0,1.0,0.6,1.0,0.09999999999999998,1.0,0.8,0.0,0.6574242045935758,0.019157089987591344,0.041239261627197266,0
89,I want nature and photography spots in Ashoka Pillar,personal,city,full,1.0,0.022935779816513763,0.06422018348623854,0.06422018348623854,1.0,1.0,1.0,1.0,0.8,0.6,0.11999999999999997,1.0,0.6666666666666666,0.0,0.5647389131831988,0.004447286274517249,0.04313921928405762,1
90,I need family-friendly places in Calico Textile Museum,personal,city,full,1.0,0.040983606557377046,0.12295081967213115,0.12295081967213115,1.0,1.0,1.0,1.0,0.6,0.8,0.11999999999999997,1.0,0.6666666666666666,0.0,0.5868611650585852,0.007490520394882958,0.03809189796447754,0
91,Suggest a budget trip for me in Calico Textile Museum,personal,city,full,1.0,0.13513513513513514,0.40540540540540543,0.40540540540540543,1.0,1.0,1.0,1.0,0.8,0.9,0.5,0.0,0.6,0.0,0.585155646341285,0.009183983595570683,0.039305925369262695,0
92,My parents need easy-access attractions in Calico Textile Museum,personal,city,full,1.0,0.01773049645390071,0.05319148936170213,0.05319148936170213,1.0,1.0,1.0,1.0,0.4,0.8,0.11999999999999997,1.0,0.8,0.0,0.7064031332880608,0.01749430930831817,0.03855013847351074,0
93,I want nature and photography spots in Calico Textile Museum,personal,city,full,1.0,0.022935779816513763,0.06422018348623854,0.06422018348623854,1.0,1.0,1.0,1.0,0.6,0.8,0.15999999999999998,1.0,0.6666666666666666,0.0,0.5880688784799837,0.009795465271073256,0.04430413246154785,0
94,I need family-friendly places in Vintage and Classic Car Collection,personal,city,full,1.0,0.040983606557377046,0.12295081967213115,0.12295081967213115,1.0,1.0,1.0,1.0,0.8,0.8,0.15999999999999998,1.0,0.6666666666666666,0.0,0.6177628028286593,0.04004102639228907,0.03841972351074219,0
95,Suggest a budget trip for me in Vintage and Classic Car Collection,personal,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.5353800438262759,1.0,1.0,1.0,0.8,0.7,0.5,0.0,0.3333333333333333,1.0,0.39762085822077464,0.01297784561297023,0.04671072959899902,0
96,My parents need easy-access attractions in Vintage and Classic Car Collection,personal,city,full,1.0,0.02252252252252252,0.06756756756756757,0.06756756756756757,1.0,1.0,1.0,1.0,0.6,1.0,0.09999999999999998,1.0,0.8,0.0,0.6835365915025448,0.03543945008111988,0.04196476936340332,0
97,I want nature and photography spots in Vintage and Classic Car Collection,personal,city,full,1.0,0.022935779816513763,0.06880733944954129,0.06880733944954129,1.0,1.0,1.0,1.0,0.8,0.5,0.15999999999999998,1.0,0.6666666666666666,0.0,0.5863792904821737,0.02994489685252833,0.04261207580566406,0
98,I need family-friendly places in Kurukshetra Panorama and Science Centre,personal,city,full,1.0,0.040983606557377046,0.12295081967213115,0.12295081967213115,1.0,1.0,1.0,1.0,0.6,0.9,0.19999999999999998,1.0,0.6666666666666666,0.0,0.5919548914960238,0.0059255253688031565,0.038149118423461914,0
99,Suggest a budget trip for me in Kurukshetra Panorama and Science Centre,personal,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.5353800438262759,1.0,1.0,1.0,0.8,0.7,0.5,0.0,0.3333333333333333,1.0,0.39231551956492916,0.005126480879514163,0.047224998474121094,0
100,My parents need easy-access attractions in Kurukshetra Panorama and Science Centre,personal,city,full,1.0,0.02252252252252252,0.06756756756756757,0.06756756756756757,1.0,1.0,1.0,1.0,0.4,1.1,0.09999999999999998,1.0,0.8,0.0,0.6561661922977401,0.01819869325026175,0.040941715240478516,0
101,I want nature and photography spots in Kurukshetra Panorama and Science Centre,personal,city,full,1.0,0.022935779816513763,0.05963302752293578,0.05963302752293578,1.0,1.0,1.0,1.0,0.8,0.5,0.11999999999999997,1.0,0.6666666666666666,0.0,0.5719094152263555,0.015467218845356236,0.04440450668334961,2
102,I need family-friendly places in Chennai Railway Museum,personal,city,full,1.0,0.040983606557377046,0.12295081967213115,0.12295081967213115,1.0,1.0,1.0,1.0,0.4,0.9,0.11999999999999997,1.0,0.6666666666666666,0.0,0.5861478443796618,0.01129085752759891,0.038744211196899414,0
103,Suggest a budget trip for me in Chennai Railway Museum,personal,city,full,1.0,0.13513513513513514,0.40540540540540543,0.40540540540540543,1.0,1.0,1.0,1.0,0.6,0.7,0.5,0.0,0.6,0.0,0.5921865374380288,0.006849657635532475,0.04136252403259277,0
104,My parents need easy-access attractions in Chennai Railway Museum,personal,city,full,1.0,0.01773049645390071,0.05319148936170213,0.05319148936170213,1.0,1.0,1.0,1.0,0.6,1.0,0.09999999999999998,1.0,0.8,0.0,0.7108080757660259,0.032308625409417875,0.037847280502319336,0
105,I want nature and photography spots in Chennai Railway Museum,personal,city,full,1.0,0.022935779816513763,0.06422018348623854,0.06422018348623854,1.0,1.0,1.0,1.0,0.6,0.8,0.13999999999999996,1.0,0.6666666666666666,0.0,0.5903303785749964,0.009417224792130861,0.043405771255493164,0
106,I need family-friendly places in Kirtistambh,personal,city,full,1.0,0.040983606557377046,0.12295081967213115,0.12295081967213115,1.0,1.0,1.0,1.0,0.6,0.8,0.15999999999999998,1.0,0.6666666666666666,0.0,0.5923554595207781,0.002922669701699827,0.036646366119384766,0
